"ID","日期","縣市別","總人口數","前次累計接種人數更新","新增接種人數","累計接種人數","累計接種率 (%)","累計配送劑數","剩餘庫存量 (%)"
"395","2021-04-30","連江縣","13,403","88","0","88","0.66%","0","0.00%"
"567","2021-04-16","臺北市","2,581,006","6,033","426","6,459","0.25%","0","0.00%"
"572","2021-04-16","高雄市","2,760,028","5,216","549","5,765","0.21%","0","0.00%"
"570","2021-04-16","臺中市","2,820,979","3,734","151","3,885","0.14%","0","0.00%"
"569","2021-04-16","桃園市","2,270,971","3,280","232","3,512","0.15%","0","0.00%"
"568","2021-04-16","新北市","4,027,730","2,813","148","2,961","0.07%","0","0.00%"
"571","2021-04-16","臺南市","1,871,224","2,157","190","2,347","0.13%","0","0.00%"
"574","2021-04-16","彰化縣","1,262,673","803","66","869","0.07%","0","0.00%"
"576","2021-04-16","屏東縣","809,765","761","71","832","0.10%","0","0.00%"
"583","2021-04-16","花蓮縣","323,441","754","43","797","0.25%","0","0.00%"
"582","2021-04-16","嘉義縣","497,641","743","28","771","0.15%","0","0.00%"
"573","2021-04-16","新竹縣","572,422","698","64","762","0.13%","0","0.00%"
"578","2021-04-16","宜蘭縣","452,355","632","29","661","0.15%","0","0.00%"
"581","2021-04-16","嘉義市","265,416","534","51","585","0.22%","0","0.00%"
"579","2021-04-16","新竹市","452,229","491","20","511","0.11%","0","0.00%"
"577","2021-04-16","基隆市","367,088","400","0","400","0.11%","0","0.00%"
"580","2021-04-16","苗栗縣","541,226","306","0","306","0.06%","0","0.00%"
"575","2021-04-16","雲林縣","674,622","256","41","297","0.04%","0","0.00%"
"585","2021-04-16","南投縣","489,148","201","64","265","0.05%","0","0.00%"
"584","2021-04-16","臺東縣","214,599","165","22","187","0.09%","0","0.00%"
"586","2021-04-16","澎湖縣","105,905","80","10","90","0.08%","0","0.00%"
"587","2021-04-16","金門縣","140,325","48","29","77","0.05%","0","0.00%"
"588","2021-04-16","連江縣","13,403","50","0","50","0.37%","0","0.00%"
"501","2021-04-15","臺北市","2,581,006","5,630","403","6,033","0.23%","0","0.00%"
"506","2021-04-15","高雄市","2,760,028","4,912","293","5,205","0.19%","0","0.00%"
"504","2021-04-15","臺中市","2,820,979","3,629","104","3,733","0.13%","0","0.00%"
"503","2021-04-15","桃園市","2,270,971","3,180","100","3,280","0.14%","0","0.00%"
"502","2021-04-15","新北市","4,027,730","2,744","69","2,813","0.07%","0","0.00%"
"505","2021-04-15","臺南市","1,871,224","1,935","118","2,053","0.11%","0","0.00%"
"508","2021-04-15","彰化縣","1,262,673","730","73","803","0.06%","0","0.00%"
"510","2021-04-15","屏東縣","809,765","697","64","761","0.09%","0","0.00%"
"517","2021-04-15","花蓮縣","323,441","754","0","754","0.23%","0","0.00%"
"516","2021-04-15","嘉義縣","497,641","732","11","743","0.15%","0","0.00%"
"507","2021-04-15","新竹縣","572,422","698","0","698","0.12%","0","0.00%"
"512","2021-04-15","宜蘭縣","452,355","595","37","632","0.14%","0","0.00%"
"515","2021-04-15","嘉義市","265,416","502","32","534","0.20%","0","0.00%"
"513","2021-04-15","新竹市","452,229","439","52","491","0.11%","0","0.00%"
"511","2021-04-15","基隆市","367,088","333","67","400","0.11%","0","0.00%"
"514","2021-04-15","苗栗縣","541,226","258","48","306","0.06%","0","0.00%"
"509","2021-04-15","雲林縣","674,622","256","0","256","0.04%","0","0.00%"
"519","2021-04-15","南投縣","489,148","180","21","201","0.04%","0","0.00%"
"518","2021-04-15","臺東縣","214,599","155","10","165","0.08%","0","0.00%"
"520","2021-04-15","澎湖縣","105,905","80","0","80","0.08%","0","0.00%"
"522","2021-04-15","連江縣","13,403","10","40","50","0.37%","0","0.00%"
"521","2021-04-15","金門縣","140,325","48","0","48","0.03%","0","0.00%"
"479","2021-04-14","臺北市","2,581,006","5,630","403","6,033","0.23%","0","0.00%"
"484","2021-04-14","高雄市","2,760,028","4,912","293","5,205","0.19%","0","0.00%"
"482","2021-04-14","臺中市","2,820,979","3,629","104","3,733","0.13%","0","0.00%"
"481","2021-04-14","桃園市","2,270,971","3,180","100","3,280","0.14%","0","0.00%"
"480","2021-04-14","新北市","4,027,730","2,744","69","2,813","0.07%","0","0.00%"
"483","2021-04-14","臺南市","1,871,224","1,935","118","2,053","0.11%","0","0.00%"
"486","2021-04-14","彰化縣","1,262,673","730","73","803","0.06%","0","0.00%"
"488","2021-04-14","屏東縣","809,765","697","64","761","0.09%","0","0.00%"
"495","2021-04-14","花蓮縣","323,441","754","0","754","0.23%","0","0.00%"
"494","2021-04-14","嘉義縣","497,641","732","11","743","0.15%","0","0.00%"
"485","2021-04-14","新竹縣","572,422","698","0","698","0.12%","0","0.00%"
"490","2021-04-14","宜蘭縣","452,355","595","37","632","0.14%","0","0.00%"
"493","2021-04-14","嘉義市","265,416","502","32","534","0.20%","0","0.00%"
"491","2021-04-14","新竹市","452,229","439","52","491","0.11%","0","0.00%"
"489","2021-04-14","基隆市","367,088","333","67","400","0.11%","0","0.00%"
"492","2021-04-14","苗栗縣","541,226","258","48","306","0.06%","0","0.00%"
"487","2021-04-14","雲林縣","674,622","256","0","256","0.04%","0","0.00%"
"497","2021-04-14","南投縣","489,148","180","21","201","0.04%","0","0.00%"
"496","2021-04-14","臺東縣","214,599","155","10","165","0.08%","0","0.00%"
"498","2021-04-14","澎湖縣","105,905","80","0","80","0.08%","0","0.00%"
"500","2021-04-14","連江縣","13,403","10","40","50","0.37%","0","0.00%"
"499","2021-04-14","金門縣","140,325","48","0","48","0.03%","0","0.00%"
"308","2021-04-07","臺北市","2,581,006","3,355","357","3,712","0.14%","0","0.00%"
"313","2021-04-07","高雄市","2,760,028","3,201","186","3,387","0.12%","0","0.00%"
"311","2021-04-07","臺中市","2,820,979","2,525","321","2,846","0.10%","0","0.00%"
"310","2021-04-07","桃園市","2,270,971","2,236","88","2,324","0.10%","0","0.00%"
"309","2021-04-07","新北市","4,027,730","2,036","84","2,120","0.05%","0","0.00%"
"312","2021-04-07","臺南市","1,871,224","1,361","51","1,412","0.08%","0","0.00%"
"323","2021-04-07","嘉義縣","497,641","517","35","552","0.11%","0","0.00%"
"324","2021-04-07","花蓮縣","323,441","476","62","538","0.17%","0","0.00%"
"314","2021-04-07","新竹縣","572,422","519","11","530","0.09%","0","0.00%"
"315","2021-04-07","彰化縣","1,262,673","456","60","516","0.04%","0","0.00%"
"319","2021-04-07","宜蘭縣","452,355","412","42","454","0.10%","0","0.00%"
"317","2021-04-07","屏東縣","809,765","325","11","336","0.04%","0","0.00%"
"320","2021-04-07","新竹市","452,229","265","20","285","0.06%","0","0.00%"
"322","2021-04-07","嘉義市","265,416","257","11","268","0.10%","0","0.00%"
"318","2021-04-07","基隆市","367,088","214","12","226","0.06%","0","0.00%"
"321","2021-04-07","苗栗縣","541,226","164","0","164","0.03%","0","0.00%"
"316","2021-04-07","雲林縣","674,622","84","44","128","0.02%","0","0.00%"
"325","2021-04-07","臺東縣","214,599","124","0","124","0.06%","0","0.00%"
"326","2021-04-07","南投縣","489,148","83","0","83","0.02%","0","0.00%"
"327","2021-04-07","澎湖縣","105,905","50","0","50","0.05%","0","0.00%"
"328","2021-04-07","金門縣","140,325","20","0","20","0.01%","0","0.00%"
"329","2021-04-07","連江縣","13,403","0","0","0","0.00%","0","0.00%"
"137","2021-04-05","高雄市","2,760,028","3,055","30","3,085","0.11%","0","0.00%"
"132","2021-04-05","臺北市","2,581,006","2,944","63","3,007","0.12%","0","0.00%"
"135","2021-04-05","臺中市","2,820,979","2,300","0","2,300","0.08%","0","0.00%"
"134","2021-04-05","桃園市","2,270,971","2,064","0","2,064","0.09%","0","0.00%"
"133","2021-04-05","新北市","4,027,730","1,908","21","1,929","0.05%","0","0.00%"
"136","2021-04-05","臺南市","1,871,224","1,210","0","1,210","0.06%","0","0.00%"
"147","2021-04-05","嘉義縣","497,641","473","22","495","0.10%","0","0.00%"
"138","2021-04-05","新竹縣","572,422","488","0","488","0.09%","0","0.00%"
"148","2021-04-05","花蓮縣","323,441","476","0","476","0.15%","0","0.00%"
"139","2021-04-05","彰化縣","1,262,673","430","0","430","0.03%","0","0.00%"
"143","2021-04-05","宜蘭縣","452,355","379","0","379","0.08%","0","0.00%"
"141","2021-04-05","屏東縣","809,765","315","0","315","0.04%","0","0.00%"
"144","2021-04-05","新竹市","452,229","244","0","244","0.05%","0","0.00%"
"146","2021-04-05","嘉義市","265,416","184","21","205","0.08%","0","0.00%"
"142","2021-04-05","基隆市","367,088","166","0","166","0.05%","0","0.00%"
"145","2021-04-05","苗栗縣","541,226","122","10","132","0.02%","0","0.00%"
"149","2021-04-05","臺東縣","214,599","113","0","113","0.05%","0","0.00%"
"150","2021-04-05","南投縣","489,148","73","0","73","0.01%","0","0.00%"
"140","2021-04-05","雲林縣","674,622","64","0","64","0.01%","0","0.00%"
"151","2021-04-05","澎湖縣","105,905","50","0","50","0.05%","0","0.00%"
"152","2021-04-05","金門縣","140,325","20","0","20","0.01%","0","0.00%"
"153","2021-04-05","連江縣","13,403","0","0","0","0.00%","0","0.00%"
"594","2021-04-04","高雄市","2,760,028","3,055","30","3,085","0.11%","0","0.00%"
"589","2021-04-04","臺北市","2,581,006","2,944","63","3,007","0.12%","0","0.00%"
"592","2021-04-04","臺中市","2,820,979","2,300","0","2,300","0.08%","0","0.00%"
"591","2021-04-04","桃園市","2,270,971","2,064","0","2,064","0.09%","0","0.00%"
"590","2021-04-04","新北市","4,027,730","1,908","21","1,929","0.05%","0","0.00%"
"593","2021-04-04","臺南市","1,871,224","1,210","0","1,210","0.06%","0","0.00%"
"604","2021-04-04","嘉義縣","497,641","473","22","495","0.10%","0","0.00%"
"595","2021-04-04","新竹縣","572,422","488","0","488","0.09%","0","0.00%"
"605","2021-04-04","花蓮縣","323,441","476","0","476","0.15%","0","0.00%"
"596","2021-04-04","彰化縣","1,262,673","430","0","430","0.03%","0","0.00%"
"600","2021-04-04","宜蘭縣","452,355","379","0","379","0.08%","0","0.00%"
"598","2021-04-04","屏東縣","809,765","315","0","315","0.04%","0","0.00%"
"601","2021-04-04","新竹市","452,229","244","0","244","0.05%","0","0.00%"
"603","2021-04-04","嘉義市","265,416","184","21","205","0.08%","0","0.00%"
"599","2021-04-04","基隆市","367,088","166","0","166","0.05%","0","0.00%"
"602","2021-04-04","苗栗縣","541,226","122","10","132","0.02%","0","0.00%"
"606","2021-04-04","臺東縣","214,599","113","0","113","0.05%","0","0.00%"
"607","2021-04-04","南投縣","489,148","73","0","73","0.01%","0","0.00%"
"597","2021-04-04","雲林縣","674,622","64","0","64","0.01%","0","0.00%"
"608","2021-04-04","澎湖縣","105,905","50","0","50","0.05%","0","0.00%"
"609","2021-04-04","金門縣","140,325","20","0","20","0.01%","0","0.00%"
"610","2021-04-04","連江縣","13,403","0","0","0","0.00%","0","0.00%"
"681","2021-04-03","高雄市","2,760,028","3,055","0","3,055","0.11%","0","0.00%"
"676","2021-04-03","臺北市","2,581,006","2,944","0","2,944","0.11%","0","0.00%"
"679","2021-04-03","臺中市","2,820,979","2,300","0","2,300","0.08%","0","0.00%"
"678","2021-04-03","桃園市","2,270,971","2,064","0","2,064","0.09%","0","0.00%"
"677","2021-04-03","新北市","4,027,730","1,908","0","1,908","0.05%","0","0.00%"
"680","2021-04-03","臺南市","1,871,224","1,210","0","1,210","0.06%","0","0.00%"
"682","2021-04-03","新竹縣","572,422","488","0","488","0.09%","0","0.00%"
"692","2021-04-03","花蓮縣","323,441","476","0","476","0.15%","0","0.00%"
"691","2021-04-03","嘉義縣","497,641","473","0","473","0.10%","0","0.00%"
"683","2021-04-03","彰化縣","1,262,673","430","0","430","0.03%","0","0.00%"
"687","2021-04-03","宜蘭縣","452,355","379","0","379","0.08%","0","0.00%"
"685","2021-04-03","屏東縣","809,765","315","0","315","0.04%","0","0.00%"
"688","2021-04-03","新竹市","452,229","244","0","244","0.05%","0","0.00%"
"690","2021-04-03","嘉義市","265,416","184","0","184","0.07%","0","0.00%"
"686","2021-04-03","基隆市","367,088","166","0","166","0.05%","0","0.00%"
"689","2021-04-03","苗栗縣","541,226","122","0","122","0.02%","0","0.00%"
"693","2021-04-03","臺東縣","214,599","113","0","113","0.05%","0","0.00%"
"694","2021-04-03","南投縣","489,148","73","0","73","0.01%","0","0.00%"
"684","2021-04-03","雲林縣","674,622","64","0","64","0.01%","0","0.00%"
"695","2021-04-03","澎湖縣","105,905","50","0","50","0.05%","0","0.00%"
"696","2021-04-03","金門縣","140,325","20","0","20","0.01%","0","0.00%"
"697","2021-04-03","連江縣","13,403","0","0","0","0.00%","0","0.00%"
"550","2021-04-02","高雄市","2,760,028","3,005","50","3,055","0.11%","0","0.00%"
"545","2021-04-02","臺北市","2,581,006","2,858","86","2,944","0.11%","0","0.00%"
"548","2021-04-02","臺中市","2,820,979","2,268","32","2,300","0.08%","0","0.00%"
"547","2021-04-02","桃園市","2,270,971","1,974","90","2,064","0.09%","0","0.00%"
"546","2021-04-02","新北市","4,027,730","1,694","192","1,886","0.05%","0","0.00%"
"549","2021-04-02","臺南市","1,871,224","1,210","0","1,210","0.06%","0","0.00%"
"551","2021-04-02","新竹縣","572,422","477","11","488","0.09%","0","0.00%"
"561","2021-04-02","花蓮縣","323,441","443","33","476","0.15%","0","0.00%"
"560","2021-04-02","嘉義縣","497,641","473","0","473","0.10%","0","0.00%"
"552","2021-04-02","彰化縣","1,262,673","404","26","430","0.03%","0","0.00%"
"556","2021-04-02","宜蘭縣","452,355","379","0","379","0.08%","0","0.00%"
"554","2021-04-02","屏東縣","809,765","305","10","315","0.04%","0","0.00%"
"557","2021-04-02","新竹市","452,229","223","21","244","0.05%","0","0.00%"
"559","2021-04-02","嘉義市","265,416","129","55","184","0.07%","0","0.00%"
"555","2021-04-02","基隆市","367,088","166","0","166","0.05%","0","0.00%"
"558","2021-04-02","苗栗縣","541,226","122","0","122","0.02%","0","0.00%"
"562","2021-04-02","臺東縣","214,599","113","0","113","0.05%","0","0.00%"
"563","2021-04-02","南投縣","489,148","73","0","73","0.01%","0","0.00%"
"553","2021-04-02","雲林縣","674,622","64","0","64","0.01%","0","0.00%"
"564","2021-04-02","澎湖縣","105,905","50","0","50","0.05%","0","0.00%"
"565","2021-04-02","金門縣","140,325","20","0","20","0.01%","0","0.00%"
"566","2021-04-02","連江縣","13,403","0","0","0","0.00%","0","0.00%"
"3","2021-03-24","桃園市","2,270,971","765","324","1,089","0.05%","0","0.00%"
"6","2021-03-24","高雄市","2,760,028","678","402","1,080","0.04%","0","0.00%"
"4","2021-03-24","臺中市","2,820,979","371","281","652","0.02%","0","0.00%"
"2","2021-03-24","新北市","4,027,730","239","203","442","0.01%","0","0.00%"
"5","2021-03-24","臺南市","1,871,224","121","121","242","0.01%","0","0.00%"
"1","2021-03-24","臺北市","2,581,006","48","5","222","0.01%","0","0.00%"
"7","2021-03-24","新竹縣","572,422","112","63","175","0.03%","0","0.00%"
"17","2021-03-24","花蓮縣","323,441","46","122","168","0.05%","0","0.00%"
"10","2021-03-24","屏東縣","809,765","84","47","131","0.02%","0","0.00%"
"16","2021-03-24","嘉義縣","497,641","66","33","99","0.02%","0","0.00%"
"12","2021-03-24","宜蘭縣","452,355","52","41","93","0.02%","0","0.00%"
"8","2021-03-24","彰化縣","1,262,673","34","32","66","0.01%","0","0.00%"
"13","2021-03-24","新竹市","452,229","10","50","60","0.01%","0","0.00%"
"18","2021-03-24","臺東縣","214,599","51","0","51","0.02%","0","0.00%"
"15","2021-03-24","嘉義市","265,416","33","0","33","0.01%","0","0.00%"
"14","2021-03-24","苗栗縣","541,226","21","0","21","0.00%","0","0.00%"
"19","2021-03-24","南投縣","489,148","19","0","19","0.00%","0","0.00%"
"9","2021-03-24","雲林縣","674,622","11","0","11","0.00%","0","0.00%"
"11","2021-03-24","基隆市","367,088","10","0","10","0.00%","0","0.00%"
"20","2021-03-24","澎湖縣","105,905","10","0","10","0.01%","0","0.00%"
"21","2021-03-24","金門縣","140,325","0","10","10","0.01%","0","0.00%"
"22","2021-03-24","連江縣","13,403","0","0","0","0.00%","0","0.00%"
"700","2021-03-23","桃園市","2,270,971","343","422","765","0.03%","0","0.00%"
"703","2021-03-23","高雄市","2,760,028","353","325","678","0.02%","0","0.00%"
"698","2021-03-23","臺北市","2,581,006","302","184","486","0.02%","0","0.00%"
"701","2021-03-23","臺中市","2,820,979","103","268","371","0.01%","0","0.00%"
"699","2021-03-23","新北市","4,027,730","131","107","238","0.01%","0","0.00%"
"702","2021-03-23","臺南市","1,871,224","50","71","121","0.01%","0","0.00%"
"704","2021-03-23","新竹縣","572,422","45","67","112","0.02%","0","0.00%"
"707","2021-03-23","屏東縣","809,765","40","44","84","0.01%","0","0.00%"
"713","2021-03-23","嘉義縣","497,641","33","33","66","0.01%","0","0.00%"
"709","2021-03-23","宜蘭縣","452,355","52","0","52","0.01%","0","0.00%"
"715","2021-03-23","臺東縣","214,599","10","41","51","0.02%","0","0.00%"
"714","2021-03-23","花蓮縣","323,441","46","0","46","0.01%","0","0.00%"
"705","2021-03-23","彰化縣","1,262,673","22","12","34","0.00%","0","0.00%"
"712","2021-03-23","嘉義市","265,416","0","33","33","0.01%","0","0.00%"
"711","2021-03-23","苗栗縣","541,226","11","10","21","0.00%","0","0.00%"
"716","2021-03-23","南投縣","489,148","9","10","19","0.00%","0","0.00%"
"706","2021-03-23","雲林縣","674,622","0","11","11","0.00%","0","0.00%"
"708","2021-03-23","基隆市","367,088","10","0","10","0.00%","0","0.00%"
"710","2021-03-23","新竹市","452,229","10","0","10","0.00%","0","0.00%"
"717","2021-03-23","澎湖縣","105,905","10","0","10","0.01%","0","0.00%"
"718","2021-03-23","金門縣","140,325","0","0","0","0.00%","0","0.00%"
"719","2021-03-23","連江縣","13,403","0","0","0","0.00%","0","0.00%"
"247","2021-03-22","高雄市","2,760,028","0","353","353","0.01%","0","0.00%"
"244","2021-03-22","桃園市","2,270,971","0","343","343","0.02%","0","0.00%"
"242","2021-03-22","臺北市","2,581,006","0","301","301","0.01%","0","0.00%"
"243","2021-03-22","新北市","4,027,730","0","131","131","0.00%","0","0.00%"
"245","2021-03-22","臺中市","2,820,979","0","103","103","0.00%","0","0.00%"
"253","2021-03-22","宜蘭縣","452,355","0","52","52","0.01%","0","0.00%"
"246","2021-03-22","臺南市","1,871,224","0","50","50","0.00%","0","0.00%"
"258","2021-03-22","花蓮縣","323,441","0","46","46","0.01%","0","0.00%"
"248","2021-03-22","新竹縣","572,422","0","45","45","0.01%","0","0.00%"
"251","2021-03-22","屏東縣","809,765","0","40","40","0.00%","0","0.00%"
"257","2021-03-22","嘉義縣","497,641","0","33","33","0.01%","0","0.00%"
"249","2021-03-22","彰化縣","1,262,673","0","21","21","0.00%","0","0.00%"
"255","2021-03-22","苗栗縣","541,226","0","11","11","0.00%","0","0.00%"
"252","2021-03-22","基隆市","367,088","0","10","10","0.00%","0","0.00%"
"254","2021-03-22","新竹市","452,229","0","10","10","0.00%","0","0.00%"
"259","2021-03-22","臺東縣","214,599","0","10","10","0.00%","0","0.00%"
"261","2021-03-22","澎湖縣","105,905","0","10","10","0.01%","0","0.00%"
"260","2021-03-22","南投縣","489,148","0","9","9","0.00%","0","0.00%"
"250","2021-03-22","雲林縣","674,622","0","0","0","0.00%","0","0.00%"
"256","2021-03-22","嘉義市","265,416","0","0","0","0.00%","0","0.00%"
"262","2021-03-22","金門縣","140,325","0","0","0","0.00%","0","0.00%"
"263","2021-03-22","連江縣","13,403","0","0","0","0.00%","0","0.00%"
"638","2021-03-21","高雄市","2,760,028","0","353","353","0.01%","0","0.00%"
"635","2021-03-21","桃園市","2,270,971","0","343","343","0.02%","0","0.00%"
"633","2021-03-21","臺北市","2,581,006","0","301","301","0.01%","0","0.00%"
"634","2021-03-21","新北市","4,027,730","0","131","131","0.00%","0","0.00%"
"636","2021-03-21","臺中市","2,820,979","0","103","103","0.00%","0","0.00%"
"644","2021-03-21","宜蘭縣","452,355","0","52","52","0.01%","0","0.00%"
"637","2021-03-21","臺南市","1,871,224","0","50","50","0.00%","0","0.00%"
"649","2021-03-21","花蓮縣","323,441","0","46","46","0.01%","0","0.00%"
"639","2021-03-21","新竹縣","572,422","0","45","45","0.01%","0","0.00%"
"642","2021-03-21","屏東縣","809,765","0","40","40","0.00%","0","0.00%"
"648","2021-03-21","嘉義縣","497,641","0","33","33","0.01%","0","0.00%"
"640","2021-03-21","彰化縣","1,262,673","0","21","21","0.00%","0","0.00%"
"646","2021-03-21","苗栗縣","541,226","0","11","11","0.00%","0","0.00%"
"643","2021-03-21","基隆市","367,088","0","10","10","0.00%","0","0.00%"
"645","2021-03-21","新竹市","452,229","0","10","10","0.00%","0","0.00%"
"650","2021-03-21","臺東縣","214,599","0","10","10","0.00%","0","0.00%"
"652","2021-03-21","澎湖縣","105,905","0","10","10","0.01%","0","0.00%"
"651","2021-03-21","南投縣","489,148","0","9","9","0.00%","0","0.00%"
"641","2021-03-21","雲林縣","674,622","0","0","0","0.00%","0","0.00%"
"647","2021-03-21","嘉義市","265,416","0","0","0","0.00%","0","0.00%"
"653","2021-03-21","金門縣","140,325","0","0","0","0.00%","0","0.00%"
"654","2021-03-21","連江縣","13,403","0","0","0","0.00%","0","0.00%"